"number","title","labels","opened","state","merged","closed","beforeFCPProposed","fcpProposed","beforeFCPEntered","fcpEntered","beforeFCPComplete","fcpComplete"
1828,"Rust bookshelf","final-comment-period,T-doc","2016-12-25T16:03:48Z","MERGED","2017-02-06T18:15:53Z","",49,"2017-01-24T19:58:54Z",6,"2017-01-25T20:04:00Z",0,"2017-02-04T20:31:55Z"
1832,"Generators","final-comment-period,T-lang","2016-12-27T21:48:03Z","CLOSED","","2017-05-08T22:37:54Z",6,"2017-02-23T20:38:30Z",0,"2017-04-27T22:18:01Z",0,"2017-05-07T22:53:45Z"
1841,"Reject crates.io uploads which declare a feature named `no_std`","final-comment-period,T-tools","2017-01-03T02:37:40Z","CLOSED","","2017-05-21T15:38:54Z",47,"2017-05-02T15:24:24Z",13,"2017-05-11T04:53:10Z",0,"2017-05-21T05:10:00Z"
1845,"RFC: From<&[T]> for Rc<[T]> + From<&str> for Rc<str>","final-comment-period,T-libs","2017-01-05T21:46:42Z","MERGED","2017-03-13T16:28:22Z","",26,"2017-02-14T15:34:17Z",5,"2017-02-28T22:03:24Z",3,"2017-03-10T22:10:09Z"
1849,"Remove static bound from type_id","final-comment-period,T-lang,T-libs","2017-01-08T02:14:46Z","MERGED","2017-05-10T11:29:09Z","",28,"2017-02-19T10:34:55Z",12,"2017-03-28T21:06:55Z",0,"2017-04-07T21:09:37Z"
1857,"Stabilize drop order","final-comment-period,T-lang","2017-01-19T13:09:20Z","MERGED","2017-07-03T18:31:04Z","",128,"2017-05-04T23:02:52Z",9,"2017-06-15T12:10:32Z",10,"2017-06-25T12:30:59Z"
1859,"extend `?` to operate over other types","final-comment-period,T-lang","2017-01-19T22:10:25Z","MERGED","2017-05-30T17:05:41Z","",121,"2017-05-03T21:34:53Z",5,"2017-05-17T11:49:36Z",0,"2017-05-27T12:13:47Z"
1860,"Manually Drop","final-comment-period,T-libs","2017-01-20T19:02:04Z","MERGED","2017-03-20T14:19:05Z","",22,"2017-02-15T17:59:28Z",11,"2017-03-09T03:08:53Z",7,"2017-03-19T03:33:30Z"
1866,"More readable assert_eq proposal","final-comment-period,T-libs","2017-01-23T13:05:29Z","CLOSED","","2017-04-29T01:33:22Z",10,"2017-04-11T17:34:50Z",1,"2017-04-17T18:13:52Z",6,"2017-04-27T18:16:40Z"
1868,"RFC: A portability lint","final-comment-period,T-lang,T-libs","2017-01-23T18:56:08Z","MERGED","2017-04-29T03:20:35Z","",25,"2017-02-21T17:35:23Z",23,"2017-04-17T23:15:05Z",0,"2017-04-27T23:18:13Z"
